School,City,Region,Applied,Admitted,Enrolled
ALBUQUERQUE HIGH SCHOOL,Albuquerque,NM,5.0,4.0,0.0
ALBUQUERQUE INSTITUTE OF MATH,Albuquerque,NM,0.0,0.0,0.0
ALBUQUERQUE SCHOOL EXCELLENCE,Albuquerque,NM,0.0,0.0,0.0
ALC GATEWAY TO COLLEGE,Saint Paul,MN,0.0,0.0,0.0
ALCANTA INTERNATIONAL COLLEGE,nan,nan,9.0,8.0,3.0
ALCONBURY MIDDLE/HIGH SCHOOL,nan,nan,0.0,0.0,0.0
ALCOTT COLLEGE PREP,Chicago,IL,0.0,0.0,0.0
ALCUIN SCHOOL,Dallas,TX,0.0,0.0,0.0
ALDO LEOPOLD CHARTER SCHOOL,Silver City,NM,0.0,0.0,0.0
ALEDO HIGH SCHOOL,Aledo,TX,7.0,4.0,0.0
ALEX W DREYFOOS JR SCHOOL OF ARTS,West Palm Beach,FL,13.0,10.0,0.0
ALEXANDER ACADEMY,nan,nan,0.0,0.0,0.0
ALEXANDER DAWSON SCHOOL,Lafayette,CO,15.0,9.0,3.0
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,219.0,155.0,79.0
ALEXANDER HAMILTON HS,Elmsford,NY,0.0,0.0,0.0
ALEXANDER MACKENZIE HIGH SCHOO,nan,nan,7.0,0.0,0.0
ALEXANDRIA AREA HIGH SCHOOL,Alexandria,MN,0.0,0.0,0.0
ALEXANDRIA CITY HIGH SCHOOL,Alexandria,VA,13.0,7.0,0.0
ALFRED M BARBE HIGH SCHOOL,Lake Charles,LA,0.0,0.0,0.0
ALFRED-ALMOND CENTRAL SCHOOL,Almond,NY,0.0,0.0,0.0
ALGONQUIN REGIONAL HIGH SCHOOL,Northborough,MA,11.0,7.0,0.0
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,194.0,140.0,66.0
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,56.0,34.0,15.0
ALICE SMITH SCHOOL,nan,nan,0.0,0.0,0.0
ALIEF HASTINGS HIGH SCHOOL,Houston,TX,0.0,0.0,0.0
ALIEF TAYLOR HIGH SCHOOL,Houston,TX,0.0,0.0,0.0
ALISAL HIGH SCHOOL,Salinas,Monterey,182.0,146.0,51.0
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,236.0,166.0,78.0
ALKEV OZEL OKULLARI,nan,nan,0.0,0.0,0.0
ALL CITY LEADERSHIP SECONDARY,Brooklyn,NY,0.0,0.0,0.0
ALL SAINTS ACADEMY,Winter Haven,FL,0.0,0.0,0.0
ALL SAINTS EPISCOPAL SCHOOL,Fort Worth,TX,0.0,0.0,0.0
ALL SAINTS EPISCOPAL SCHOOL,Tyler,TX,0.0,0.0,0.0
ALL SAINTS EPISCOPAL-LUBBOCK,Lubbock,TX,0.0,0.0,0.0
ALLEN ACADEMY,Bryan,TX,0.0,0.0,0.0
ALLEN D NEASE HIGH SCHOOL,Ponte Vedra,FL,8.0,5.0,0.0
ALLEN HIGH SCHOOL,Allen,TX,72.0,29.0,3.0
ALLENTOWN CENTRAL CATHOLIC HS,Allentown,PA,0.0,0.0,0.0
ALLENTOWN HIGH SCHOOL,Allentown,NJ,0.0,0.0,0.0
ALLIANCE ACADEMY INNOVATION,Cumming,GA,8.0,0.0,0.0
ALLIANCE ACADEMY INTERNATIONAL,nan,nan,0.0,0.0,0.0
